agency_cd,site_no,Date,X_00060_00003,X_00060_00003_cd
USGS,02089500,1931-11-06,390,A
USGS,02089500,1931-11-07,390,A
USGS,02089500,1931-11-08,390,A
USGS,02089500,1931-11-09,390,A
USGS,02089500,1931-11-10,390,A
USGS,02089500,1931-11-11,390,A
USGS,02089500,1931-11-12,390,A
USGS,02089500,1931-11-13,390,A
USGS,02089500,1931-11-14,390,A
USGS,02089500,1931-11-15,390,A
USGS,02089500,1931-11-16,390,A
USGS,02089500,1931-11-17,390,A
USGS,02089500,1931-11-18,390,A
USGS,02089500,1931-11-19,390,A
USGS,02089500,1931-11-20,390,A
USGS,02089500,1931-11-21,390,A
USGS,02089500,1931-11-22,390,A
USGS,02089500,1931-11-23,390,A
USGS,02089500,1931-11-24,390,A
USGS,02089500,1931-11-25,390,A
USGS,02089500,1931-11-26,390,A
USGS,02089500,1931-11-27,390,A
USGS,02089500,1931-11-28,390,A
USGS,02089500,1931-11-29,390,A
USGS,02089500,1931-11-30,390,A
USGS,02089500,1931-12-01,420,A
USGS,02089500,1931-12-02,420,A
USGS,02089500,1931-12-03,1500,A
USGS,02089500,1931-12-04,1500,A
USGS,02089500,1931-12-05,1500,A
USGS,02089500,1931-12-06,1500,A
USGS,02089500,1931-12-07,1500,A
USGS,02089500,1931-12-08,1500,A
USGS,02089500,1931-12-09,1500,A
USGS,02089500,1931-12-10,1750,A
USGS,02089500,1931-12-11,1750,A
USGS,02089500,1931-12-12,1750,A
USGS,02089500,1931-12-13,1750,A
USGS,02089500,1931-12-14,1750,A
USGS,02089500,1931-12-15,1750,A
USGS,02089500,1931-12-16,1750,A
USGS,02089500,1931-12-17,1340,A
USGS,02089500,1931-12-18,1300,A
USGS,02089500,1931-12-19,1300,A
USGS,02089500,1931-12-20,1300,A
USGS,02089500,1931-12-21,1260,A
USGS,02089500,1931-12-22,1260,A
USGS,02089500,1931-12-23,1260,A
USGS,02089500,1931-12-24,1300,A
USGS,02089500,1931-12-25,1850,A
USGS,02089500,1931-12-26,1850,A
USGS,02089500,1931-12-27,1850,A
USGS,02089500,1931-12-28,1850,A
USGS,02089500,1931-12-29,1850,A
USGS,02089500,1931-12-30,1850,A
USGS,02089500,1931-12-31,1720,A
USGS,02089500,1932-01-01,1760,A
USGS,02089500,1932-01-02,1720,A
USGS,02089500,1932-01-03,2100,A
USGS,02089500,1932-01-04,2100,A
USGS,02089500,1932-01-05,2100,A
USGS,02089500,1932-01-06,2100,A
USGS,02089500,1932-01-07,2100,A
USGS,02089500,1932-01-08,3600,A
USGS,02089500,1932-01-09,3600,A
USGS,02089500,1932-01-10,3600,A
USGS,02089500,1932-01-11,3600,A
USGS,02089500,1932-01-12,3600,A
USGS,02089500,1932-01-13,3600,A
USGS,02089500,1932-01-14,3600,A
USGS,02089500,1932-01-15,7050,A
USGS,02089500,1932-01-16,6820,A
USGS,02089500,1932-01-17,6930,A
USGS,02089500,1932-01-18,7290,A
USGS,02089500,1932-01-19,7650,A
USGS,02089500,1932-01-20,7780,A
USGS,02089500,1932-01-21,5850,A
USGS,02089500,1932-01-22,4160,A
USGS,02089500,1932-01-23,2670,A
USGS,02089500,1932-01-24,2280,A
